age,gender,weight_kg,height_m,max_bpm,avg_bpm,resting_bpm,session_duration_hours,calories_burned,workout_type,fat_percentage,water_intake_liters,workout_frequency_days_week,experience_level,bmi,bpm_response_ratio,intensity_band,calorie_burn_rate_kcal_per_hour,calories_burned_zscore,calorie_outlier_3sigma,calories_burned_clean
56,Male,88.3,1.71,180,157,60,1.69,1313.0,Yoga,12.6,3.5,4,3,30.2,0.8722222222222222,High,776.9230769230769,1.494921244461949,False,1313.0
46,Female,74.9,1.53,179,151,66,1.3,883.0,HIIT,33.9,2.1,4,2,32.0,0.8435754189944135,Mid,679.2307692307692,-0.08224134469675522,False,883.0
32,Female,68.1,1.66,167,122,54,1.11,677.0,Cardio,33.4,2.3,4,2,24.71,0.7305389221556886,Mid,609.9099099099099,-0.8378122595030182,False,677.0
25,Male,53.2,1.7,190,164,56,0.59,532.0,Strength,28.8,2.1,3,1,18.41,0.8631578947368421,High,901.6949152542373,-1.3696461558472324,False,532.0
38,Male,46.1,1.79,188,158,68,0.64,556.0,Strength,29.2,2.8,3,1,14.39,0.8404255319148937,Mid,868.75,-1.281618476452328,False,556.0
56,Female,58.0,1.68,168,156,74,1.59,1116.0,HIIT,15.5,2.7,5,3,20.55,0.9285714285714286,High,701.8867924528302,0.7723607094287752,False,1116.0
36,Male,70.3,1.72,174,169,73,1.49,1385.0,Cardio,21.3,2.3,3,2,23.76,0.9712643678160919,High,929.5302013422819,1.7590042826466623,False,1385.0
40,Female,69.7,1.51,189,141,64,1.27,895.0,Cardio,30.6,1.9,3,2,30.57,0.746031746031746,Mid,704.7244094488188,-0.038227504999303004,False,895.0
28,Male,121.7,1.94,185,127,52,1.03,719.0,Strength,28.9,2.6,4,2,32.34,0.6864864864864865,Low,698.0582524271845,-0.6837638205619354,False,719.0
28,Male,101.8,1.84,169,136,64,1.08,808.0,Cardio,29.7,2.7,3,1,30.07,0.8047337278106509,Mid,748.1481481481482,-0.3573278428058315,False,808.0
41,Male,120.8,1.67,188,146,54,0.82,593.0,HIIT,20.5,3.0,2,1,43.31,0.776595744680851,Mid,723.1707317073171,-1.1459091373851837,False,593.0
53,Male,51.7,1.7,175,152,72,1.15,865.0,HIIT,23.6,3.5,3,2,17.89,0.8685714285714285,High,752.1739130434784,-0.14826210424293354,False,865.0
57,Male,112.5,1.61,195,165,61,1.24,1013.0,Cardio,22.1,2.7,3,2,43.4,0.8461538461538461,Mid,816.9354838709678,0.39457525202564375,False,1013.0
41,Male,94.5,2.0,179,136,69,1.18,794.0,HIIT,27.6,3.7,3,1,23.62,0.7597765363128491,Mid,672.8813559322034,-0.40867732245285915,False,794.0
20,Male,117.7,1.81,196,161,54,1.35,1195.0,Yoga,26.4,3.3,3,2,35.93,0.8214285714285714,Mid,885.1851851851851,1.0621184874370022,False,1195.0
39,Female,42.5,1.75,181,131,52,1.13,740.0,Strength,26.2,2.1,2,1,13.88,0.7237569060773481,Mid,654.8672566371682,-0.6067396010913941,False,740.0
19,Female,64.0,1.53,166,167,58,1.33,1111.0,HIIT,29.8,2.3,3,2,27.34,1.0060240963855422,High,835.3383458646616,0.7540216095548368,False,1111.0
41,Female,43.8,1.77,182,165,58,1.19,884.0,Cardio,31.9,1.6,3,1,13.98,0.9065934065934066,High,742.8571428571429,-0.07857352472196753,False,884.0
47,Female,66.8,1.75,199,146,56,1.13,742.0,Strength,32.8,2.5,3,2,21.81,0.7336683417085427,Mid,656.637168141593,-0.5994039611418187,False,742.0
55,Female,75.2,1.67,188,167,51,1.37,1030.0,HIIT,25.2,2.2,2,1,26.96,0.8882978723404256,High,751.8248175182481,0.4569281915970344,False,1030.0
19,Male,89.0,1.77,175,127,72,1.5,1048.0,Strength,28.9,3.7,4,2,28.41,0.7257142857142858,Mid,698.6666666666666,0.5229489511432127,False,1048.0
38,Male,71.9,1.77,197,142,72,1.12,875.0,Cardio,25.7,3.1,2,1,22.95,0.7208121827411168,Mid,781.2499999999999,-0.11158390449505669,False,875.0
50,Female,71.0,1.68,187,161,70,1.17,848.0,Yoga,33.1,2.5,2,1,25.16,0.8609625668449198,High,724.7863247863248,-0.21061504381432417,False,848.0
29,Male,120.9,1.78,197,168,65,0.78,721.0,Yoga,28.1,3.4,2,1,38.16,0.8527918781725888,High,924.3589743589744,-0.6764281806123601,False,721.0
39,Female,64.3,1.69,190,148,58,1.25,925.0,HIIT,26.9,1.9,4,2,22.51,0.7789473684210526,Mid,740.0,0.07180709424432753,False,925.0
42,Female,63.7,1.71,173,169,62,1.42,1080.0,Yoga,26.1,1.8,3,2,21.78,0.976878612716763,High,760.5633802816902,0.6403191903364186,False,1080.0
