line_number,raw_field_count,expected_field_count,repair_action,food_item_after_repair
2,12,12,no_repair_needed,Scrambled Eggs (2 large)
3,12,12,no_repair_needed,Whole Wheat Toast (1 slice)
4,12,12,no_repair_needed,Coffee (black)
5,12,12,no_repair_needed,Banana
6,12,12,no_repair_needed,Grilled Chicken Salad
7,12,12,no_repair_needed,Apple
8,12,12,no_repair_needed,Salmon (4oz grilled)
9,12,12,no_repair_needed,Quinoa (1 cup cooked)
10,12,12,no_repair_needed,Steamed Broccoli (1 cup)
11,12,12,no_repair_needed,Greek Yogurt (plain 1 cup)
12,12,12,no_repair_needed,Oatmeal (1 cup cooked)
13,12,12,no_repair_needed,Blueberries (1/2 cup)
14,12,12,no_repair_needed,Almonds (1 oz)
15,12,12,no_repair_needed,Turkey Sandwich (on wheat)
16,12,12,no_repair_needed,Carrot Sticks (1 cup)
17,12,12,no_repair_needed,Spaghetti Bolognese
18,12,12,no_repair_needed,Side Salad (light dressing)
19,12,12,no_repair_needed,Protein Shake (Whey)
20,12,12,no_repair_needed,Cereal (Frosted Flakes 1 cup)
21,13,12,food_item_comma_repaired,"Milk (2%, 1 cup)"
22,12,12,no_repair_needed,Lentil Soup (1 can)
23,12,12,no_repair_needed,White Rice (1 cup cooked)
24,12,12,no_repair_needed,Tofu Stir-fry
25,12,12,no_repair_needed,Orange
26,12,12,no_repair_needed,Bagel (plain)
27,12,12,no_repair_needed,Cream Cheese (2 tbsp)
28,12,12,no_repair_needed,Tuna Salad (1/2 cup)
29,12,12,no_repair_needed,Crackers (5 whole wheat)
30,12,12,no_repair_needed,Beef Steak (6oz sirloin)
31,12,12,no_repair_needed,Baked Potato (medium)
32,12,12,no_repair_needed,Ice Cream (1/2 cup vanilla)
33,12,12,no_repair_needed,Pizza (1 slice pepperoni)
34,12,12,no_repair_needed,Avocado Toast (1 slice)
35,12,12,no_repair_needed,Hard-Boiled Egg (1 large)
36,12,12,no_repair_needed,Chicken Wrap (with tortilla)
37,12,12,no_repair_needed,Grapes (1 cup)
38,12,12,no_repair_needed,Cottage Cheese (1/2 cup)
39,12,12,no_repair_needed,Burger (cheeseburger)
40,12,12,no_repair_needed,French Fries (medium)
41,12,12,no_repair_needed,Protein Bar
42,12,12,no_repair_needed,Black Beans (1/2 cup)
43,12,12,no_repair_needed,Salsa (1/4 cup)
44,12,12,no_repair_needed,Chicken Noodle Soup (1 can)
45,12,12,no_repair_needed,Peanut Butter (2 tbsp)
46,12,12,no_repair_needed,Celery Sticks (1 cup)
47,12,12,no_repair_needed,Cod (4oz baked)
48,12,12,no_repair_needed,Green Beans (1 cup)
49,12,12,no_repair_needed,Chocolate Chip Cookie (1 large)
50,13,12,food_item_comma_repaired,"Tea (Green, 1 cup)"
51,12,12,no_repair_needed,Shrimp (3oz steamed)
52,12,12,no_repair_needed,Pancakes (2 medium)
53,12,12,no_repair_needed,Maple Syrup (2 tbsp)
54,12,12,no_repair_needed,Sausage Link (1 cooked)
55,12,12,no_repair_needed,Smoothie (Fruit & Yogurt)
56,12,12,no_repair_needed,Tofu (4oz firm)
57,12,12,no_repair_needed,Brown Rice (1 cup cooked)
58,12,12,no_repair_needed,Bell Pepper (1 medium red)
59,12,12,no_repair_needed,Hummus (2 tbsp)
60,12,12,no_repair_needed,Pita Bread (1 whole wheat)
61,12,12,no_repair_needed,Pork Chop (4oz grilled)
62,12,12,no_repair_needed,Mashed Potatoes (1 cup)
63,12,12,no_repair_needed,Corn (1 cup)
64,12,12,no_repair_needed,Soda (1 can Coke)
65,12,12,no_repair_needed,Pretzels (1 oz)
66,12,12,no_repair_needed,Cheddar Cheese (1 oz)
67,12,12,no_repair_needed,Caesar Salad (with chicken)
68,12,12,no_repair_needed,Orange Juice (1 cup)
69,12,12,no_repair_needed,Bacon (2 slices cooked)
70,12,12,no_repair_needed,Waffles (2 homemade)
71,12,12,no_repair_needed,Pear
72,12,12,no_repair_needed,Chicken Breast (4oz roasted)
73,12,12,no_repair_needed,Mixed Nuts (1/4 cup)
74,12,12,no_repair_needed,Tilapia (4oz baked)
75,12,12,no_repair_needed,Asparagus (1 cup steamed)
76,12,12,no_repair_needed,Sweet Potato (1 medium baked)
77,12,12,no_repair_needed,Popcorn (3 cups air-popped)
78,12,12,no_repair_needed,Raisins (1/4 cup)
79,12,12,no_repair_needed,Macaroni & Cheese (1 cup)
80,12,12,no_repair_needed,Tomato Soup (1 can)
81,12,12,no_repair_needed,Grilled Cheese Sandwich
82,12,12,no_repair_needed,Beef Tacos (2 hard shell)
83,12,12,no_repair_needed,Refried Beans (1/2 cup)
84,12,12,no_repair_needed,Guacamole (1/4 cup)
85,12,12,no_repair_needed,Watermelon (1 cup diced)
86,12,12,no_repair_needed,English Muffin (whole wheat)
87,12,12,no_repair_needed,Peanut Butter & Jelly Sandwich
88,12,12,no_repair_needed,Clam Chowder (1 cup)
89,12,12,no_repair_needed,Iced Tea (Sweetened 16oz)
90,12,12,no_repair_needed,Lasagna (1 serving meat)
91,12,12,no_repair_needed,Garlic Bread (1 slice)
92,12,12,no_repair_needed,Chocolate Milk (1 cup)
93,12,12,no_repair_needed,White Bread (1 slice)
94,12,12,no_repair_needed,Jelly (1 tbsp grape)
95,12,12,no_repair_needed,Veggie Burger (1 patty)
96,12,12,no_repair_needed,Bun (hamburger)
97,12,12,no_repair_needed,Ketchup (1 tbsp)
98,12,12,no_repair_needed,Muffin (Blueberry 1 large)
99,12,12,no_repair_needed,Coffee (with cream/sugar)
100,12,12,no_repair_needed,Potato Chips (1 oz)
101,12,12,no_repair_needed,Tzatziki Sauce (2 tbsp)
102,12,12,no_repair_needed,Pancakes (2 medium)
103,12,12,no_repair_needed,Maple Syrup (2 tbsp)
104,12,12,no_repair_needed,Sausage Link (1 cooked)
105,12,12,no_repair_needed,Smoothie (Fruit & Yogurt)
106,12,12,no_repair_needed,Tofu (4oz firm)
107,12,12,no_repair_needed,Brown Rice (1 cup cooked)
108,12,12,no_repair_needed,Bell Pepper (1 medium red)
109,12,12,no_repair_needed,Hummus (2 tbsp)
110,12,12,no_repair_needed,Pita Bread (1 whole wheat)
111,12,12,no_repair_needed,Pork Chop (4oz grilled)
112,12,12,no_repair_needed,Mashed Potatoes (1 cup)
113,12,12,no_repair_needed,Corn (1 cup)
114,12,12,no_repair_needed,Soda (1 can Coke)
115,12,12,no_repair_needed,Pretzels (1 oz)
116,12,12,no_repair_needed,Cheddar Cheese (1 oz)
117,12,12,no_repair_needed,Caesar Salad (with chicken)
118,12,12,no_repair_needed,Orange Juice (1 cup)
119,12,12,no_repair_needed,Bacon (2 slices cooked)
120,12,12,no_repair_needed,Waffles (2 homemade)
121,12,12,no_repair_needed,Pear
122,12,12,no_repair_needed,Chicken Breast (4oz roasted)
123,12,12,no_repair_needed,Mixed Nuts (1/4 cup)
124,12,12,no_repair_needed,Tilapia (4oz baked)
125,12,12,no_repair_needed,Asparagus (1 cup steamed)
126,12,12,no_repair_needed,Sweet Potato (1 medium baked)
127,12,12,no_repair_needed,Popcorn (3 cups air-popped)
128,12,12,no_repair_needed,Raisins (1/4 cup)
129,12,12,no_repair_needed,Macaroni & Cheese (1 cup)
130,12,12,no_repair_needed,Tomato Soup (1 can)
131,12,12,no_repair_needed,Grilled Cheese Sandwich
132,12,12,no_repair_needed,Beef Tacos (2 hard shell)
133,12,12,no_repair_needed,Refried Beans (1/2 cup)
134,12,12,no_repair_needed,Guacamole (1/4 cup)
135,12,12,no_repair_needed,Watermelon (1 cup diced)
136,12,12,no_repair_needed,English Muffin (whole wheat)
137,12,12,no_repair_needed,Peanut Butter & Jelly Sandwich
138,12,12,no_repair_needed,Clam Chowder (1 cup)
139,12,12,no_repair_needed,Iced Tea (Sweetened 16oz)
140,12,12,no_repair_needed,Lasagna (1 serving meat)
141,12,12,no_repair_needed,Garlic Bread (1 slice)
142,12,12,no_repair_needed,Chocolate Milk (1 cup)
143,12,12,no_repair_needed,White Bread (1 slice)
144,12,12,no_repair_needed,Jelly (1 tbsp grape)
145,12,12,no_repair_needed,Veggie Burger (1 patty)
146,12,12,no_repair_needed,Bun (hamburger)
147,12,12,no_repair_needed,Ketchup (1 tbsp)
148,12,12,no_repair_needed,Muffin (Blueberry 1 large)
149,12,12,no_repair_needed,Coffee (with cream/sugar)
150,12,12,no_repair_needed,Potato Chips (1 oz)
151,12,12,no_repair_needed,Tzatziki Sauce (2 tbsp)
152,12,12,no_repair_needed,Scallops (3oz seared)
153,12,12,no_repair_needed,Risotto (Mushroom 1 cup)
154,12,12,no_repair_needed,Caprese Salad
155,12,12,no_repair_needed,Balsamic Vinaigrette (2 tbsp)
156,12,12,no_repair_needed,Cherries (1 cup)
157,12,12,no_repair_needed,Turkey Bacon (2 slices)
158,12,12,no_repair_needed,Grits (1 cup cooked)
159,12,12,no_repair_needed,Butter (1 tbsp)
160,12,12,no_repair_needed,Meatball Sub (6 inch)
161,12,12,no_repair_needed,Kiwifruit (1 medium)
162,12,12,no_repair_needed,Beef Jerky (1 oz)
163,12,12,no_repair_needed,Figs (2 medium)
164,12,12,no_repair_needed,Lobster (3oz steamed)
165,12,12,no_repair_needed,Melted Butter (for lobster)
166,12,12,no_repair_needed,Corn on the Cob (1 large)
167,12,12,no_repair_needed,Vegetable Soup (1 can)
168,12,12,no_repair_needed,Saltine Crackers (5 crackers)
169,12,12,no_repair_needed,Mango (1 cup slices)
170,12,12,no_repair_needed,Cheesecake (1 slice)
171,12,12,no_repair_needed,Pad Thai (Chicken 1.5 cups)
172,12,12,no_repair_needed,Spring Roll (Veg 2 rolls)
173,12,12,no_repair_needed,Coconut Water (1 cup)
174,12,12,no_repair_needed,Kimchi (1/2 cup)
175,12,12,no_repair_needed,Sashimi (Salmon 3 pcs)
176,12,12,no_repair_needed,Wasabi (1 tsp)
177,12,12,no_repair_needed,Seaweed Salad (1/2 cup)
178,12,12,no_repair_needed,French Onion Soup (1 cup)
179,12,12,no_repair_needed,Croutons (1/4 cup)
180,12,12,no_repair_needed,Shepherd's Pie (1 serving)
181,12,12,no_repair_needed,Green Peas (1/2 cup)
182,12,12,no_repair_needed,Apple Pie (1 slice)
183,12,12,no_repair_needed,Gin & Tonic (1 drink)
184,12,12,no_repair_needed,Red Wine (5 oz glass)
185,12,12,no_repair_needed,Halibut (4oz baked)
186,12,12,no_repair_needed,Quinoa Salad (1 cup)
187,12,12,no_repair_needed,Lemonade (1 cup)
188,12,12,no_repair_needed,Pistachios (1 oz shelled)
189,12,12,no_repair_needed,Oat Milk (1 cup)
190,12,12,no_repair_needed,Biscuits and Gravy (1 serving)
191,12,12,no_repair_needed,Avocado (1/2 fruit)
192,12,12,no_repair_needed,Corn Flakes (1 cup)
193,12,12,no_repair_needed,T-Bone Steak (6oz)
194,12,12,no_repair_needed,Creamed Spinach (1/2 cup)
195,12,12,no_repair_needed,Pecans (1 oz)
196,12,12,no_repair_needed,Fruit Cocktail (canned 1 cup)
197,12,12,no_repair_needed,Ramen (Instant 1 pack)
198,12,12,no_repair_needed,Mocha Latte (16oz)
199,12,12,no_repair_needed,Cucumber Slices (1 cup)
200,12,12,no_repair_needed,Feta Cheese (1 oz)
201,12,12,no_repair_needed,Olives (Kalamata 5 large)
202,12,12,no_repair_needed,Chicken Alfredo (1.5 cups)
